,horse_id,name,bloodline,breed_type,gen,gender,coat,stable_name,class,race_count,placed_pct,win_pct,odds,rank,zed_url,img_url
0,17959,Moonlight Graham,Finney,elite,Z14,Colt,Crimson Tide,Catch Me Ridin' Derby,5,339,0.3687315634218289,0.21238938053097345,7.96054187192118,1,https://zed.run/racehorse/17959,https://img.zed.run/horses/DC143C.svg
1,10362,Royal Plaza,Buterin,genesis,Z10,Colt,Azure Mist,Aloha Racing,5,274,0.36496350364963503,0.20072992700729927,7.099071038251364,2,https://zed.run/racehorse/10362,https://img.zed.run/horses/F0FFFF.svg
2,3634,Taikun Prince,Buterin,genesis,Z8,Mare,Peach Puff,South Peach Ranch,5,99,0.42424242424242425,0.1919191919191919,7.973358208955226,3,https://zed.run/racehorse/3634,https://img.zed.run/horses/FFDAB9.svg
3,17244,Supreme Impulse,Buterin,legendary,Z20,Filly,Coyote Brown,Papa G Stables,5,350,0.3657142857142857,0.2057142857142857,8.19856459330143,4,https://zed.run/racehorse/17244,https://img.zed.run/horses/81613C.svg
4,18397,Night Queen,Finney,legendary,Z12,Mare,Air Superiority Blue,GreekFreaks,5,201,0.3482587064676617,0.14427860696517414,9.568137254901961,5,https://zed.run/racehorse/18397,https://img.zed.run/horses/72A0C1.svg
5,11033,Arctic News,Buterin,genesis,Z10,Filly,Big Dip O’Ruby,PRO Stables,5,18,0.4444444444444444,0.2777777777777778,8.656909090909092,6,https://zed.run/racehorse/11033,https://img.zed.run/horses/9C2542.svg
6,19602,Desert Rose,Finney,elite,Z16,Filly,Desert Sand,Shiny Water,5,221,0.3212669683257919,0.20361990950226244,7.046351351351354,7,https://zed.run/racehorse/19602,https://img.zed.run/horses/EDC9AF.svg
7,14822,Platinum Spirit,Buterin,genesis,Z9,Mare,Byzantium,Horsey & Horsey,5,190,0.34210526315789475,0.15263157894736842,8.453233830845768,8,https://zed.run/racehorse/14822,https://img.zed.run/horses/702963.svg
8,11428,Percival,Nakamoto,elite,Z5,Colt,Thistle,Trail Blazer Racing,5,152,0.39473684210526316,0.13157894736842105,8.941702127659578,9,https://zed.run/racehorse/11428,https://img.zed.run/horses/D8BFD8.svg
9,8902,Upper Limit,Buterin,genesis,Z10,Stallion,Pale Violet,Oden Thoroughbreds,5,26,0.38461538461538464,0.2692307692307692,8.542121212121213,10,https://zed.run/racehorse/8902,https://img.zed.run/horses/DB7093.svg
10,10066,Hunter View,Buterin,genesis,Z10,Mare,Burlywood,Diomedes Racing,5,88,0.3522727272727273,0.20454545454545456,9.478656429942427,11,https://zed.run/racehorse/10066,https://img.zed.run/horses/DEB887.svg
11,18261,A Wicked Spade,Nakamoto,elite,Z9,Colt,Rosy Brown,Bea Horn Stable,5,115,0.3739130434782609,0.19130434782608696,8.762880000000003,12,https://zed.run/racehorse/18261,https://img.zed.run/horses/BC8F8F.svg
12,19526,Fire Strike,Buterin,legendary,Z9,Colt,Atomic Tangerine,Danshan,5,168,0.3392857142857143,0.15476190476190477,9.559450549450553,13,https://zed.run/racehorse/19526,https://img.zed.run/horses/FF9966.svg
