,horse_id,name,bloodline,breed_type,gen,gender,coat,stable_name,class,race_count,placed_pct,win_pct,odds,rank,zed_url,img_url
0,10362,Royal Plaza,Buterin,genesis,Z10,Colt,Azure Mist,Aloha Racing,4,319,0.3761755485893417,0.1974921630094044,7.193366174055827,1,https://zed.run/racehorse/10362,https://img.zed.run/horses/F0FFFF.svg
1,16896,Running Plank,Finney,legendary,Z13,Mare,Misty Rose,Tr0nderosa,4,289,0.36678200692041524,0.17993079584775087,8.086256281407035,2,https://zed.run/racehorse/16896,https://img.zed.run/horses/FFE4E1.svg
2,14828,Sir Charles,Buterin,genesis,Z9,Colt,Shadow Fighter,Maxpowers,4,516,0.3372093023255814,0.1821705426356589,8.278988095238097,3,https://zed.run/racehorse/14828,https://img.zed.run/horses/BFAFB2.svg
3,18712,i95,Finney,elite,Z10,Colt,Field Drab,DW Racing,4,336,0.37797619047619047,0.22023809523809523,7.861014799154328,4,https://zed.run/racehorse/18712,https://img.zed.run/horses/6C541E.svg
4,15605,Nymeria,Buterin,legendary,Z12,Mare,Coral Wave,Stable of Ice and Fire,4,283,0.3674911660777385,0.13780918727915195,7.849484240687683,5,https://zed.run/racehorse/15605,https://img.zed.run/horses/FF7F50.svg
5,15427,Lone Wolf,Buterin,legendary,Z12,Colt,Thistle,Reynolds Racing,4,20,0.45,0.35,9.541904761904764,6,https://zed.run/racehorse/15427,https://img.zed.run/horses/D8BFD8.svg
6,2840,Gold Dancer,Finney,genesis,Z6,Mare,Alice Blue,The Banana Stand,4,20,0.5,0.3,8.10257918552036,7,https://zed.run/racehorse/2840,https://img.zed.run/horses/F0F8FF.svg
7,18445,Ink,Buterin,legendary,Z14,Colt,Midnight Black,Home of the Buzz,4,225,0.37777777777777777,0.2088888888888889,7.590551948051945,8,https://zed.run/racehorse/18445,https://img.zed.run/horses/000000.svg
8,17791,Horsey McHorseFase,Buterin,legendary,Z13,Colt,Bittersweet Shimmer,The Champagne Room,4,23,0.5217391304347826,0.2608695652173913,7.420312499999999,9,https://zed.run/racehorse/17791,https://img.zed.run/horses/BF4F51.svg
9,8866,Falcon,Buterin,genesis,Z10,Mare,Firebrick,Fenton's Stables & Ranch,4,176,0.38636363636363635,0.14772727272727273,9.72367713004484,10,https://zed.run/racehorse/8866,https://img.zed.run/horses/B22222.svg
10,14594,Tangerine Haze,Buterin,genesis,Z9,Mare,Brown Sugar,Sanic,4,265,0.33584905660377357,0.12830188679245283,9.17875,11,https://zed.run/racehorse/14594,https://img.zed.run/horses/AF6E4D.svg
11,6982,Come At Me Bro,Szabo,legendary,Z4,Colt,Big Dip O’Ruby,Zerga Farms,4,193,0.3160621761658031,0.16062176165803108,8.517990654205612,12,https://zed.run/racehorse/6982,https://img.zed.run/horses/9C2542.svg
