,color_group,Color Box,Coat,hex_color,Horse Count,Genesis Count,Rarity
86,Neptune,Rare,Alice Blue,#F0F8FF,256,130,7.0
87,Neptune,Rare,Absolute Zero,#0048BA,265,118,8.0
88,Fiery,Rare,Firebrick,#B22222,265,127,8.0
89,Neptune,Rare,Cadet Blue,#5F9EA0,272,130,7.0
90,Neptune,Common,Azure Mist,#F0FFFF,275,197,9.0
91,Earth,Rare,Rosy Brown,#BC8F8F,277,127,7.0
92,Classic,Rare,Golden Rod,#EEE8AA,281,125,7.0
93,Moon,Super Rare,Arctic Snow,#FFFAFA,291,154,6.0
94,Moon,Super Rare,Stronghold Ivory,#CDCDC1,295,137,4.0
95,Fiery,Rare,Coral Wave,#FF7F50,296,130,7.0
96,Moon,Super Rare,Slate Gray,#708090,297,142,4.0
97,Classic,Rare,Burlywood,#DEB887,301,138,8.0
98,Mystical,Rare,Pale Violet,#DB7093,306,127,7.0
99,Mystical,Rare,Misty Rose,#FFE4E1,312,133,7.0
100,Wild,Rare,Chartreuse,#7FFF00,348,138,7.0
101,Wild,Rare,Sir Aquamarine,#7FFFD4,353,122,7.0
