,horse_id,name,bloodline,breed_type,gen,gender,coat,stable_name,class,race_count,placed_pct,win_pct,odds,rank
0,18712,i95,Finney,elite,Z10,Colt,Field Drab,DW Racing,4,264,0.39015151515151514,0.22348484848484848,7.801560283687948,1
1,18904,Vanilla Bean,Buterin,legendary,Z10,Filly,Antique White,Nobody's Klose,4,181,0.40331491712707185,0.32044198895027626,5.92917098445596,2
2,17959,Moonlight Graham,Finney,elite,Z14,Colt,Crimson Tide,Catch Me Ridin' Derby,4,267,0.3595505617977528,0.21722846441947566,7.768553459119501,3
3,16896,Running Plank,Finney,legendary,Z13,Mare,Misty Rose,Tr0nderosa,4,184,0.3695652173913043,0.1793478260869565,8.03916317991632,4
4,5431,Cool Rain,Buterin,genesis,Z10,Colt,Cosmic Cobalt,Shady Lane Stables,4,271,0.3505535055350554,0.1881918819188192,8.787999999999997,5
5,10471,Truth and Lies,Buterin,genesis,Z10,Mare,Mystic Maroon,Aloha Racing,4,164,0.3719512195121951,0.21341463414634146,7.60241279069767,6
6,12497,Fight For Flight,Finney,genesis,Z7,Filly,AO,Kuda Racing,4,10,0.7,0.3,8.57030303030303,7
7,15427,Lone Wolf,Buterin,legendary,Z12,Colt,Thistle,Sleepy Hollow,4,19,0.47368421052631576,0.3684210526315789,9.440000000000001,8
8,14557,Undeterred,Buterin,genesis,Z9,Colt,Antique White,[ZMU] Shadow Stable,4,128,0.3671875,0.2109375,7.97141843971631,9
9,17791,Horsey McHorseFase,Buterin,legendary,Z13,Colt,Bittersweet Shimmer,Equipoise Equestrians,4,16,0.5625,0.3125,7.168235294117646,10
10,17244,Supreme Impulse,Buterin,legendary,Z20,Filly,Coyote Brown,Papa G Stables,4,283,0.38515901060070673,0.21554770318021202,8.168971428571423,11
11,18445,Ink,Buterin,legendary,Z14,Colt,Midnight Black,Home of the Buzz,4,176,0.3693181818181818,0.1875,7.603225806451608,12
12,15861,Trapped Nerve,Buterin,legendary,Z13,Mare,Fiery Rose,POLT RACING,4,151,0.3973509933774834,0.1390728476821192,8.74006211180124,13
13,13873,Gold Rush,Finney,genesis,Z6,Colt,Ghost White,Sherwood Forest,4,82,0.4146341463414634,0.24390243902439024,6.838679245283015,14
14,10066,Hunter View,Buterin,genesis,Z10,Mare,Burlywood,Diomedes Racing,4,83,0.37349397590361444,0.2289156626506024,9.467964774951088,15
15,15502,Scorpion King,Buterin,legendary,Z17,Colt,Slate Gray,Lotus Racing,4,199,0.32663316582914576,0.18090452261306533,9.037647058823527,16
16,17987,Julius Randle,Finney,exclusive,Z16,Colt,Bittersweet Shimmer,Taco Truck,4,268,0.34701492537313433,0.11940298507462686,10.032523364485982,17
17,9163,Sky Mercury,Nakamoto,exclusive,Z5,Colt,Sienna,Spiltan,4,57,0.42105263157894735,0.22807017543859648,8.838302752293574,18
18,19114,Baker,Buterin,cross,Z45,Mare,Baker-Miller Pink,HarleyBear Farms,4,30,0.4666666666666667,0.26666666666666666,8.821818181818184,19
19,2575,Chosen Well,Finney,genesis,Z6,Colt,Slate Gray,Doofy Racing,4,25,0.52,0.24,9.00900552486188,20
20,10629,Secret Art,Buterin,genesis,Z10,Colt,Banana Mania,Kuda Racing,4,212,0.32547169811320753,0.1509433962264151,9.496900237529692,21
21,15258,Warner,Nakamoto,elite,Z9,Colt,English Vermillion,Kuda Racing,4,276,0.3007246376811594,0.12681159420289856,9.4137966101695,22
22,17894,Doc Brown,Finney,exclusive,Z11,Filly,Fandango,The 2BrotheL,4,88,0.3977272727272727,0.19318181818181818,7.213461538461538,23
23,9287,Hypersonic,Nakamoto,elite,Z6,Colt,Alabaster,Crab Cakes,4,123,0.3089430894308943,0.17073170731707318,8.813749999999997,24
24,7405,Melanie,Nakamoto,legendary,Z4,Colt,Arctic Snow,KM Enterprises,4,135,0.37037037037037035,0.1925925925925926,8.609636363636367,25
25,7486,Chester	,Nakamoto,legendary,Z2,Colt,Sir Aquamarine,Metaverse Racing,4,189,0.30687830687830686,0.15343915343915343,8.232157676348548,26
26,19526,Fire Strike,Buterin,legendary,Z9,Colt,Atomic Tangerine,Danshan,4,139,0.35251798561151076,0.16546762589928057,9.568431372549025,27
27,15342,Quantum,Finney,legendary,Z13,Colt,Bittersweet Shimmer,Diamond Hands,4,158,0.310126582278481,0.1518987341772152,9.06187878787879,28
28,6168,Rocky Patel,Buterin,legendary,Z17,Colt,Coral Wave,Pacific Sunset Stables,4,17,0.5294117647058824,0.23529411764705882,8.143087557603693,29
29,16844,SAMO,Buterin,legendary,Z19,Filly,Black Chocolate,Glen O'brien Stable Party,4,141,0.3475177304964539,0.18439716312056736,7.973286713286714,30
30,9092,Genesis,Finney,legendary,Z10,Filly,Powder Blue,Kaizen Stables,4,70,0.38571428571428573,0.21428571428571427,7.421160714285713,31
